Prey ,800, Predator ,400, Grass ,2000
Prey ,716, Predator ,393, Grass ,1577
Prey ,737, Predator ,400, Grass ,1551
Prey ,750, Predator ,399, Grass ,1522
Prey ,773, Predator ,395, Grass ,1503
Prey ,775, Predator ,391, Grass ,1476
Prey ,794, Predator ,387, Grass ,1456
Prey ,801, Predator ,386, Grass ,1425
Prey ,807, Predator ,383, Grass ,1401
Prey ,835, Predator ,384, Grass ,1377
Prey ,856, Predator ,386, Grass ,1356
Prey ,874, Predator ,385, Grass ,1328
Prey ,875, Predator ,395, Grass ,1294
Prey ,865, Predator ,378, Grass ,1268
Prey ,879, Predator ,374, Grass ,1251
Prey ,892, Predator ,362, Grass ,1227
Prey ,907, Predator ,363, Grass ,1198
Prey ,929, Predator ,369, Grass ,1172
Prey ,939, Predator ,369, Grass ,1157
Prey ,944, Predator ,376, Grass ,1132
Prey ,949, Predator ,386, Grass ,1114
Prey ,960, Predator ,387, Grass ,1091
Prey ,960, Predator ,389, Grass ,1069
Prey ,962, Predator ,388, Grass ,1054
Prey ,972, Predator ,393, Grass ,1034
Prey ,983, Predator ,399, Grass ,1013
Prey ,981, Predator ,392, Grass ,989
Prey ,994, Predator ,386, Grass ,970
Prey ,996, Predator ,389, Grass ,947
Prey ,1015, Predator ,387, Grass ,913
Prey ,1032, Predator ,390, Grass ,900
Prey ,1051, Predator ,395, Grass ,887
Prey ,1049, Predator ,400, Grass ,865
Prey ,1040, Predator ,394, Grass ,836
Prey ,1018, Predator ,387, Grass ,822
Prey ,1001, Predator ,384, Grass ,811
Prey ,1002, Predator ,391, Grass ,798
Prey ,1009, Predator ,394, Grass ,782
Prey ,1011, Predator ,402, Grass ,767
Prey ,1021, Predator ,405, Grass ,744
Prey ,1035, Predator ,411, Grass ,719
Prey ,1016, Predator ,403, Grass ,694
Prey ,1029, Predator ,415, Grass ,679
Prey ,1028, Predator ,415, Grass ,665
Prey ,1010, Predator ,424, Grass ,649
Prey ,1017, Predator ,434, Grass ,638
Prey ,1030, Predator ,435, Grass ,621
Prey ,1021, Predator ,441, Grass ,610
Prey ,1038, Predator ,444, Grass ,599
Prey ,1040, Predator ,441, Grass ,586
Prey ,1025, Predator ,441, Grass ,577
Prey ,1029, Predator ,449, Grass ,560
Prey ,1004, Predator ,458, Grass ,546
Prey ,1000, Predator ,457, Grass ,541
Prey ,991, Predator ,456, Grass ,528
Prey ,966, Predator ,456, Grass ,520
Prey ,966, Predator ,460, Grass ,513
Prey ,949, Predator ,467, Grass ,503
Prey ,936, Predator ,474, Grass ,490
Prey ,925, Predator ,476, Grass ,482
Prey ,905, Predator ,482, Grass ,473
Prey ,882, Predator ,491, Grass ,461
Prey ,868, Predator ,495, Grass ,454
Prey ,859, Predator ,503, Grass ,444
Prey ,843, Predator ,512, Grass ,429
Prey ,831, Predator ,509, Grass ,421
Prey ,819, Predator ,521, Grass ,414
Prey ,814, Predator ,523, Grass ,408
Prey ,780, Predator ,534, Grass ,396
Prey ,770, Predator ,528, Grass ,389
Prey ,754, Predator ,545, Grass ,384
Prey ,745, Predator ,556, Grass ,382
Prey ,720, Predator ,561, Grass ,375
Prey ,701, Predator ,561, Grass ,371
Prey ,680, Predator ,575, Grass ,368
Prey ,664, Predator ,586, Grass ,365
Prey ,650, Predator ,586, Grass ,360
Prey ,622, Predator ,585, Grass ,354
Prey ,609, Predator ,588, Grass ,343
Prey ,601, Predator ,605, Grass ,341
Prey ,591, Predator ,615, Grass ,338
Prey ,573, Predator ,615, Grass ,331
Prey ,562, Predator ,617, Grass ,324
Prey ,551, Predator ,627, Grass ,320
Prey ,535, Predator ,645, Grass ,315
Prey ,514, Predator ,646, Grass ,312
Prey ,482, Predator ,655, Grass ,309
Prey ,455, Predator ,667, Grass ,306
Prey ,447, Predator ,668, Grass ,302
Prey ,442, Predator ,670, Grass ,301
Prey ,434, Predator ,662, Grass ,297
Prey ,425, Predator ,664, Grass ,294
Prey ,417, Predator ,665, Grass ,292
Prey ,413, Predator ,683, Grass ,288
Prey ,390, Predator ,690, Grass ,281
Prey ,381, Predator ,687, Grass ,276
Prey ,375, Predator ,681, Grass ,274
Prey ,352, Predator ,688, Grass ,269
Prey ,335, Predator ,681, Grass ,267
Prey ,313, Predator ,683, Grass ,263
Prey ,314, Predator ,695, Grass ,263
Prey ,301, Predator ,696, Grass ,682
Prey ,294, Predator ,702, Grass ,671
Prey ,286, Predator ,714, Grass ,696
Prey ,284, Predator ,704, Grass ,711
Prey ,275, Predator ,703, Grass ,725
Prey ,262, Predator ,719, Grass ,738
Prey ,248, Predator ,723, Grass ,762
Prey ,246, Predator ,720, Grass ,778
Prey ,243, Predator ,706, Grass ,795
Prey ,246, Predator ,704, Grass ,812
Prey ,234, Predator ,692, Grass ,834
Prey ,228, Predator ,691, Grass ,860
Prey ,218, Predator ,695, Grass ,879
Prey ,212, Predator ,688, Grass ,893
Prey ,201, Predator ,689, Grass ,916
Prey ,197, Predator ,685, Grass ,938
Prey ,196, Predator ,665, Grass ,958
Prey ,195, Predator ,668, Grass ,970
Prey ,189, Predator ,653, Grass ,992
Prey ,180, Predator ,651, Grass ,1002
Prey ,180, Predator ,641, Grass ,1024
Prey ,175, Predator ,627, Grass ,1044
Prey ,162, Predator ,622, Grass ,1052
Prey ,157, Predator ,615, Grass ,1069
Prey ,155, Predator ,602, Grass ,1088
Prey ,157, Predator ,599, Grass ,1110
Prey ,161, Predator ,595, Grass ,1123
Prey ,161, Predator ,597, Grass ,1140
Prey ,156, Predator ,590, Grass ,1172
Prey ,154, Predator ,574, Grass ,1181
Prey ,150, Predator ,574, Grass ,1190
Prey ,144, Predator ,576, Grass ,1209
Prey ,147, Predator ,565, Grass ,1236
Prey ,152, Predator ,561, Grass ,1249
Prey ,153, Predator ,557, Grass ,1254
Prey ,157, Predator ,545, Grass ,1262
Prey ,155, Predator ,541, Grass ,1275
Prey ,159, Predator ,542, Grass ,1288
Prey ,151, Predator ,522, Grass ,1301
Prey ,154, Predator ,508, Grass ,1321
Prey ,150, Predator ,512, Grass ,1343
Prey ,148, Predator ,494, Grass ,1352
Prey ,146, Predator ,489, Grass ,1364
Prey ,146, Predator ,471, Grass ,1376
Prey ,143, Predator ,451, Grass ,1383
Prey ,141, Predator ,429, Grass ,1392
Prey ,137, Predator ,417, Grass ,1395
Prey ,134, Predator ,414, Grass ,1405
Prey ,134, Predator ,411, Grass ,1414
Prey ,133, Predator ,398, Grass ,1422
Prey ,131, Predator ,404, Grass ,1432
Prey ,135, Predator ,390, Grass ,1443
Prey ,133, Predator ,381, Grass ,1440
Prey ,130, Predator ,382, Grass ,1448
Prey ,139, Predator ,371, Grass ,1449
Prey ,143, Predator ,370, Grass ,1450
Prey ,144, Predator ,367, Grass ,1456
Prey ,147, Predator ,355, Grass ,1466
Prey ,148, Predator ,336, Grass ,1467
Prey ,147, Predator ,321, Grass ,1472
Prey ,146, Predator ,315, Grass ,1480
Prey ,145, Predator ,303, Grass ,1478
Prey ,143, Predator ,282, Grass ,1486
Prey ,147, Predator ,287, Grass ,1497
Prey ,149, Predator ,287, Grass ,1500
Prey ,151, Predator ,283, Grass ,1502
Prey ,154, Predator ,280, Grass ,1503
Prey ,159, Predator ,269, Grass ,1510
Prey ,163, Predator ,258, Grass ,1512
Prey ,167, Predator ,256, Grass ,1511
Prey ,163, Predator ,252, Grass ,1510
Prey ,173, Predator ,254, Grass ,1516
Prey ,170, Predator ,239, Grass ,1503
Prey ,168, Predator ,227, Grass ,1504
Prey ,174, Predator ,221, Grass ,1501
Prey ,173, Predator ,207, Grass ,1498
Prey ,179, Predator ,204, Grass ,1499
Prey ,180, Predator ,200, Grass ,1504
Prey ,183, Predator ,198, Grass ,1500
Prey ,192, Predator ,190, Grass ,1498
Prey ,190, Predator ,182, Grass ,1497
Prey ,196, Predator ,176, Grass ,1500
Prey ,198, Predator ,173, Grass ,1492
Prey ,202, Predator ,164, Grass ,1490
Prey ,208, Predator ,161, Grass ,1484
Prey ,205, Predator ,150, Grass ,1484
Prey ,208, Predator ,148, Grass ,1482
Prey ,212, Predator ,145, Grass ,1479
Prey ,224, Predator ,140, Grass ,1469
Prey ,233, Predator ,144, Grass ,1465
Prey ,238, Predator ,147, Grass ,1464
Prey ,248, Predator ,144, Grass ,1460
Prey ,254, Predator ,134, Grass ,1455
Prey ,252, Predator ,122, Grass ,1456
Prey ,259, Predator ,117, Grass ,1452
Prey ,267, Predator ,109, Grass ,1446
Prey ,269, Predator ,100, Grass ,1437
Prey ,274, Predator ,94, Grass ,1425
Prey ,279, Predator ,88, Grass ,1423
Prey ,285, Predator ,87, Grass ,1412
Prey ,287, Predator ,86, Grass ,1409
Prey ,293, Predator ,85, Grass ,1440
Prey ,307, Predator ,86, Grass ,1438
Prey ,314, Predator ,84, Grass ,1430
Prey ,315, Predator ,80, Grass ,1433
Prey ,319, Predator ,78, Grass ,1424
Prey ,329, Predator ,68, Grass ,1428
Prey ,341, Predator ,71, Grass ,1425
Prey ,357, Predator ,71, Grass ,1421
Prey ,365, Predator ,66, Grass ,1410
Prey ,372, Predator ,62, Grass ,1404
Prey ,383, Predator ,60, Grass ,1400
Prey ,387, Predator ,57, Grass ,1393
Prey ,382, Predator ,54, Grass ,1387
Prey ,383, Predator ,54, Grass ,1372
Prey ,399, Predator ,54, Grass ,1366
Prey ,416, Predator ,54, Grass ,1359
Prey ,425, Predator ,56, Grass ,1345
Prey ,428, Predator ,55, Grass ,1340
Prey ,441, Predator ,54, Grass ,1336
Prey ,445, Predator ,50, Grass ,1323
Prey ,454, Predator ,51, Grass ,1311
Prey ,464, Predator ,49, Grass ,1305
Prey ,476, Predator ,49, Grass ,1298
Prey ,486, Predator ,50, Grass ,1289
Prey ,494, Predator ,52, Grass ,1277
Prey ,505, Predator ,53, Grass ,1263
Prey ,511, Predator ,55, Grass ,1248
Prey ,520, Predator ,52, Grass ,1242
Prey ,535, Predator ,54, Grass ,1239
Prey ,545, Predator ,53, Grass ,1230
Prey ,561, Predator ,49, Grass ,1223
Prey ,573, Predator ,48, Grass ,1204
Prey ,578, Predator ,50, Grass ,1196
Prey ,584, Predator ,50, Grass ,1191
Prey ,599, Predator ,51, Grass ,1176
Prey ,614, Predator ,49, Grass ,1169
Prey ,629, Predator ,51, Grass ,1160
Prey ,647, Predator ,51, Grass ,1155
Prey ,650, Predator ,54, Grass ,1140
Prey ,655, Predator ,53, Grass ,1125
Prey ,673, Predator ,54, Grass ,1113
Prey ,682, Predator ,55, Grass ,1102
Prey ,691, Predator ,51, Grass ,1087
Prey ,696, Predator ,53, Grass ,1076
Prey ,714, Predator ,53, Grass ,1075
Prey ,726, Predator ,56, Grass ,1062
Prey ,729, Predator ,57, Grass ,1053
Prey ,756, Predator ,57, Grass ,1045
Prey ,777, Predator ,59, Grass ,1021
Prey ,786, Predator ,62, Grass ,1012
Prey ,804, Predator ,58, Grass ,1000
Prey ,823, Predator ,63, Grass ,992
Prey ,847, Predator ,63, Grass ,973
Prey ,852, Predator ,61, Grass ,958
Prey ,853, Predator ,65, Grass ,946
Prey ,871, Predator ,66, Grass ,933
Prey ,876, Predator ,63, Grass ,915
Prey ,887, Predator ,63, Grass ,903
Prey ,891, Predator ,65, Grass ,889
Prey ,904, Predator ,66, Grass ,875
Prey ,933, Predator ,62, Grass ,868
Prey ,938, Predator ,65, Grass ,852
Prey ,945, Predator ,65, Grass ,841
Prey ,969, Predator ,65, Grass ,827
Prey ,967, Predator ,63, Grass ,816
Prey ,988, Predator ,63, Grass ,799
Prey ,999, Predator ,65, Grass ,785
Prey ,1015, Predator ,70, Grass ,775
Prey ,1022, Predator ,67, Grass ,753
Prey ,1028, Predator ,69, Grass ,732
Prey ,1019, Predator ,70, Grass ,711
Prey ,1044, Predator ,71, Grass ,712
Prey ,1047, Predator ,71, Grass ,690
Prey ,1068, Predator ,71, Grass ,683
Prey ,1080, Predator ,71, Grass ,675
Prey ,1098, Predator ,71, Grass ,663
Prey ,1135, Predator ,73, Grass ,655
Prey ,1138, Predator ,74, Grass ,650
Prey ,1143, Predator ,76, Grass ,636
Prey ,1162, Predator ,78, Grass ,633
Prey ,1167, Predator ,79, Grass ,621
Prey ,1173, Predator ,82, Grass ,618
Prey ,1171, Predator ,85, Grass ,605
Prey ,1188, Predator ,82, Grass ,601
Prey ,1217, Predator ,81, Grass ,576
Prey ,1242, Predator ,81, Grass ,572
Prey ,1271, Predator ,82, Grass ,565
Prey ,1265, Predator ,83, Grass ,558
Prey ,1264, Predator ,82, Grass ,552
Prey ,1282, Predator ,85, Grass ,539
Prey ,1272, Predator ,83, Grass ,524
Prey ,1250, Predator ,86, Grass ,515
Prey ,1248, Predator ,88, Grass ,508
Prey ,1231, Predator ,88, Grass ,497
Prey ,1234, Predator ,89, Grass ,493
Prey ,1239, Predator ,90, Grass ,496
Prey ,1260, Predator ,90, Grass ,489
Prey ,1246, Predator ,92, Grass ,475
Prey ,1222, Predator ,92, Grass ,475
Prey ,1221, Predator ,94, Grass ,468
Prey ,1193, Predator ,97, Grass ,456
Prey ,1172, Predator ,99, Grass ,454
Prey ,1193, Predator ,101, Grass ,449
Prey ,1196, Predator ,105, Grass ,440
Prey ,1204, Predator ,109, Grass ,442
Prey ,1213, Predator ,112, Grass ,423
Prey ,1196, Predator ,114, Grass ,425
Prey ,1170, Predator ,119, Grass ,427
Prey ,1155, Predator ,121, Grass ,432
Prey ,1149, Predator ,123, Grass ,429
Prey ,1149, Predator ,121, Grass ,427
Prey ,1149, Predator ,125, Grass ,430
Prey ,1162, Predator ,128, Grass ,430
Prey ,1173, Predator ,126, Grass ,430
Prey ,1161, Predator ,126, Grass ,429
Prey ,1157, Predator ,131, Grass ,430
Prey ,1167, Predator ,135, Grass ,436
Prey ,1163, Predator ,135, Grass ,435
Prey ,1151, Predator ,140, Grass ,436
Prey ,1141, Predator ,142, Grass ,426
Prey ,1136, Predator ,146, Grass ,430
Prey ,1111, Predator ,147, Grass ,427
Prey ,1096, Predator ,150, Grass ,426
Prey ,1094, Predator ,153, Grass ,421
Prey ,1097, Predator ,152, Grass ,420
Prey ,1103, Predator ,151, Grass ,435
Prey ,1079, Predator ,156, Grass ,440
Prey ,1065, Predator ,156, Grass ,436
Prey ,1038, Predator ,157, Grass ,434
Prey ,1021, Predator ,162, Grass ,438
Prey ,1008, Predator ,163, Grass ,433
Prey ,1000, Predator ,162, Grass ,433
Prey ,1001, Predator ,160, Grass ,420
Prey ,983, Predator ,165, Grass ,418
Prey ,965, Predator ,172, Grass ,425
Prey ,951, Predator ,173, Grass ,422
Prey ,926, Predator ,179, Grass ,422
Prey ,915, Predator ,182, Grass ,427
Prey ,906, Predator ,185, Grass ,435
Prey ,898, Predator ,187, Grass ,436
Prey ,880, Predator ,191, Grass ,436
Prey ,867, Predator ,190, Grass ,434
Prey ,882, Predator ,188, Grass ,445
Prey ,872, Predator ,186, Grass ,441
Prey ,886, Predator ,184, Grass ,434
Prey ,871, Predator ,187, Grass ,436
Prey ,868, Predator ,193, Grass ,435
Prey ,849, Predator ,193, Grass ,435
Prey ,845, Predator ,198, Grass ,449
Prey ,842, Predator ,201, Grass ,455
Prey ,834, Predator ,204, Grass ,460
Prey ,825, Predator ,205, Grass ,467
Prey ,805, Predator ,209, Grass ,479
Prey ,794, Predator ,206, Grass ,482
Prey ,799, Predator ,205, Grass ,489
Prey ,810, Predator ,212, Grass ,493
Prey ,801, Predator ,211, Grass ,502
Prey ,804, Predator ,220, Grass ,508
Prey ,794, Predator ,222, Grass ,517
Prey ,770, Predator ,228, Grass ,517
Prey ,768, Predator ,225, Grass ,524
Prey ,761, Predator ,237, Grass ,521
Prey ,774, Predator ,239, Grass ,518
Prey ,781, Predator ,241, Grass ,527
Prey ,787, Predator ,247, Grass ,537
Prey ,785, Predator ,255, Grass ,548
Prey ,774, Predator ,254, Grass ,554
Prey ,769, Predator ,257, Grass ,565
Prey ,769, Predator ,264, Grass ,581
Prey ,775, Predator ,268, Grass ,594
Prey ,796, Predator ,280, Grass ,598
Prey ,786, Predator ,282, Grass ,601
Prey ,786, Predator ,280, Grass ,611
Prey ,780, Predator ,283, Grass ,614
Prey ,781, Predator ,289, Grass ,612
Prey ,756, Predator ,296, Grass ,617
Prey ,743, Predator ,296, Grass ,622
Prey ,742, Predator ,292, Grass ,622
Prey ,742, Predator ,293, Grass ,626
Prey ,758, Predator ,296, Grass ,628
Prey ,755, Predator ,295, Grass ,634
Prey ,747, Predator ,295, Grass ,632
Prey ,715, Predator ,285, Grass ,635
Prey ,697, Predator ,289, Grass ,635
Prey ,675, Predator ,294, Grass ,649
Prey ,675, Predator ,290, Grass ,652
Prey ,693, Predator ,293, Grass ,657
Prey ,701, Predator ,300, Grass ,657
Prey ,704, Predator ,308, Grass ,658
Prey ,700, Predator ,316, Grass ,669
Prey ,710, Predator ,314, Grass ,679
Prey ,721, Predator ,312, Grass ,676
Prey ,702, Predator ,315, Grass ,668
Prey ,693, Predator ,316, Grass ,671
Prey ,693, Predator ,317, Grass ,672
Prey ,677, Predator ,317, Grass ,674
Prey ,679, Predator ,321, Grass ,687
Prey ,676, Predator ,326, Grass ,697
Prey ,673, Predator ,325, Grass ,700
Prey ,693, Predator ,324, Grass ,707
Prey ,665, Predator ,324, Grass ,713
Prey ,647, Predator ,328, Grass ,709
Prey ,662, Predator ,339, Grass ,718
Prey ,674, Predator ,343, Grass ,719
Prey ,673, Predator ,334, Grass ,715
Prey ,674, Predator ,333, Grass ,729
Prey ,672, Predator ,335, Grass ,725
Prey ,670, Predator ,333, Grass ,722
Prey ,665, Predator ,335, Grass ,718
Prey ,651, Predator ,334, Grass ,724
Prey ,654, Predator ,336, Grass ,729
Prey ,660, Predator ,335, Grass ,728
Prey ,637, Predator ,341, Grass ,722
Prey ,642, Predator ,342, Grass ,721
Prey ,634, Predator ,342, Grass ,722
Prey ,635, Predator ,343, Grass ,721
Prey ,627, Predator ,349, Grass ,718
Prey ,630, Predator ,352, Grass ,721
Prey ,626, Predator ,362, Grass ,715
Prey ,625, Predator ,366, Grass ,724
Prey ,613, Predator ,372, Grass ,718
Prey ,601, Predator ,380, Grass ,719
Prey ,603, Predator ,376, Grass ,715
Prey ,604, Predator ,373, Grass ,723
Prey ,613, Predator ,369, Grass ,724
Prey ,613, Predator ,374, Grass ,721
Prey ,609, Predator ,372, Grass ,730
Prey ,605, Predator ,378, Grass ,729
Prey ,627, Predator ,383, Grass ,730
Prey ,620, Predator ,395, Grass ,723
Prey ,626, Predator ,398, Grass ,727
Prey ,638, Predator ,394, Grass ,733
Prey ,634, Predator ,401, Grass ,731
Prey ,629, Predator ,399, Grass ,731
Prey ,625, Predator ,406, Grass ,726
Prey ,625, Predator ,398, Grass ,733
Prey ,608, Predator ,397, Grass ,725
Prey ,596, Predator ,403, Grass ,714
Prey ,606, Predator ,408, Grass ,715
Prey ,603, Predator ,410, Grass ,721
Prey ,595, Predator ,403, Grass ,727
Prey ,604, Predator ,394, Grass ,730
Prey ,614, Predator ,395, Grass ,725
Prey ,598, Predator ,401, Grass ,735
Prey ,593, Predator ,403, Grass ,744
Prey ,591, Predator ,409, Grass ,749
Prey ,598, Predator ,408, Grass ,743
Prey ,601, Predator ,413, Grass ,738
Prey ,595, Predator ,410, Grass ,744
Prey ,592, Predator ,416, Grass ,740
Prey ,599, Predator ,423, Grass ,737
Prey ,597, Predator ,430, Grass ,736
Prey ,604, Predator ,424, Grass ,742
Prey ,601, Predator ,424, Grass ,751
Prey ,603, Predator ,419, Grass ,747
Prey ,607, Predator ,413, Grass ,748
Prey ,596, Predator ,397, Grass ,743
Prey ,596, Predator ,397, Grass ,751
Prey ,592, Predator ,392, Grass ,744
Prey ,579, Predator ,397, Grass ,746
Prey ,579, Predator ,394, Grass ,740
Prey ,582, Predator ,392, Grass ,752
Prey ,575, Predator ,399, Grass ,749
Prey ,569, Predator ,398, Grass ,745
Prey ,568, Predator ,400, Grass ,743
Prey ,563, Predator ,399, Grass ,742
Prey ,565, Predator ,392, Grass ,749
Prey ,559, Predator ,395, Grass ,740
Prey ,559, Predator ,371, Grass ,741
Prey ,559, Predator ,372, Grass ,740
Prey ,562, Predator ,376, Grass ,749
Prey ,565, Predator ,384, Grass ,751
Prey ,567, Predator ,385, Grass ,751
Prey ,567, Predator ,388, Grass ,748
Prey ,559, Predator ,394, Grass ,754
Prey ,567, Predator ,403, Grass ,755
Prey ,571, Predator ,404, Grass ,749
Prey ,572, Predator ,406, Grass ,751
Prey ,570, Predator ,416, Grass ,754
Prey ,567, Predator ,413, Grass ,754
Prey ,575, Predator ,407, Grass ,754
Prey ,589, Predator ,398, Grass ,762
Prey ,604, Predator ,395, Grass ,761
Prey ,605, Predator ,393, Grass ,758
Prey ,598, Predator ,397, Grass ,758
Prey ,599, Predator ,395, Grass ,753
Prey ,599, Predator ,392, Grass ,746
Prey ,596, Predator ,391, Grass ,750
Prey ,578, Predator ,395, Grass ,750
Prey ,590, Predator ,394, Grass ,747
Prey ,599, Predator ,397, Grass ,744
Prey ,597, Predator ,395, Grass ,754
Prey ,593, Predator ,386, Grass ,763
Prey ,607, Predator ,383, Grass ,771
Prey ,593, Predator ,389, Grass ,765
Prey ,593, Predator ,382, Grass ,765
Prey ,595, Predator ,382, Grass ,761
Prey ,595, Predator ,385, Grass ,758
Prey ,592, Predator ,384, Grass ,756
Prey ,607, Predator ,383, Grass ,747
Prey ,608, Predator ,381, Grass ,741
Prey ,588, Predator ,394, Grass ,741
Prey ,591, Predator ,403, Grass ,738
Prey ,585, Predator ,399, Grass ,744
Prey ,573, Predator ,382, Grass ,740
Prey ,586, Predator ,377, Grass ,738
Prey ,588, Predator ,385, Grass ,737
Prey ,588, Predator ,395, Grass ,733
Prey ,572, Predator ,379, Grass ,739
Prey ,567, Predator ,380, Grass ,740
Prey ,575, Predator ,383, Grass ,738
Prey ,574, Predator ,382, Grass ,737
Prey ,575, Predator ,385, Grass ,746
Prey ,588, Predator ,389, Grass ,753
Prey ,597, Predator ,398, Grass ,751
Prey ,602, Predator ,403, Grass ,744
Prey ,592, Predator ,395, Grass ,750
Prey ,597, Predator ,394, Grass ,744
Prey ,598, Predator ,399, Grass ,752
Prey ,586, Predator ,397, Grass ,751
Prey ,585, Predator ,393, Grass ,752
Prey ,576, Predator ,398, Grass ,752
Prey ,568, Predator ,411, Grass ,758
Prey ,559, Predator ,412, Grass ,745
Prey ,556, Predator ,414, Grass ,749
Prey ,567, Predator ,407, Grass ,751
Prey ,574, Predator ,414, Grass ,743
Prey ,569, Predator ,417, Grass ,744
Prey ,561, Predator ,422, Grass ,746
Prey ,561, Predator ,419, Grass ,752
Prey ,553, Predator ,419, Grass ,749
Prey ,546, Predator ,424, Grass ,756
Prey ,539, Predator ,422, Grass ,772
Prey ,530, Predator ,419, Grass ,776
Prey ,530, Predator ,422, Grass ,777
Prey ,525, Predator ,419, Grass ,770
Prey ,521, Predator ,420, Grass ,780
Prey ,527, Predator ,413, Grass ,786
Prey ,529, Predator ,426, Grass ,780
Prey ,545, Predator ,435, Grass ,781
Prey ,555, Predator ,447, Grass ,782
Prey ,560, Predator ,445, Grass ,780
Prey ,557, Predator ,446, Grass ,780
Prey ,546, Predator ,437, Grass ,777
Prey ,531, Predator ,436, Grass ,772
Prey ,536, Predator ,437, Grass ,776
Prey ,531, Predator ,434, Grass ,789
Prey ,529, Predator ,443, Grass ,797
Prey ,527, Predator ,440, Grass ,794
Prey ,524, Predator ,438, Grass ,798
Prey ,513, Predator ,432, Grass ,799
Prey ,515, Predator ,431, Grass ,800
Prey ,514, Predator ,432, Grass ,794
Prey ,502, Predator ,427, Grass ,795
Prey ,497, Predator ,429, Grass ,805
Prey ,502, Predator ,444, Grass ,813
Prey ,504, Predator ,441, Grass ,816
Prey ,499, Predator ,444, Grass ,808
Prey ,499, Predator ,440, Grass ,813
Prey ,506, Predator ,443, Grass ,820
Prey ,508, Predator ,450, Grass ,823
Prey ,511, Predator ,447, Grass ,819
Prey ,513, Predator ,444, Grass ,831
Prey ,521, Predator ,449, Grass ,831
Prey ,518, Predator ,452, Grass ,825
Prey ,530, Predator ,443, Grass ,827
Prey ,539, Predator ,440, Grass ,825
Prey ,540, Predator ,435, Grass ,831
Prey ,543, Predator ,443, Grass ,829
Prey ,530, Predator ,446, Grass ,827
Prey ,530, Predator ,437, Grass ,828
Prey ,536, Predator ,428, Grass ,826
Prey ,507, Predator ,437, Grass ,837
Prey ,490, Predator ,445, Grass ,841
Prey ,488, Predator ,434, Grass ,845
Prey ,496, Predator ,429, Grass ,846
Prey ,489, Predator ,426, Grass ,853
Prey ,474, Predator ,432, Grass ,852
Prey ,468, Predator ,440, Grass ,857
Prey ,461, Predator ,431, Grass ,856
Prey ,449, Predator ,430, Grass ,856
Prey ,444, Predator ,429, Grass ,857
Prey ,453, Predator ,434, Grass ,863
Prey ,460, Predator ,421, Grass ,867
Prey ,466, Predator ,418, Grass ,871
Prey ,473, Predator ,421, Grass ,875
Prey ,460, Predator ,423, Grass ,886
Prey ,447, Predator ,415, Grass ,889
Prey ,460, Predator ,425, Grass ,886
Prey ,459, Predator ,436, Grass ,886
Prey ,467, Predator ,445, Grass ,888
Prey ,476, Predator ,439, Grass ,893
Prey ,479, Predator ,424, Grass ,897
Prey ,484, Predator ,429, Grass ,897
Prey ,489, Predator ,426, Grass ,895
Prey ,490, Predator ,431, Grass ,898
Prey ,500, Predator ,432, Grass ,900
Prey ,495, Predator ,437, Grass ,905
Prey ,496, Predator ,433, Grass ,902
